project_name,task_id,task_name,priority,priority_score,decision_question,what_changed,forecast_if_no_action,why_now,recommended_action,owner_role,decision_by,evidence,confidence,next_evidence,human_gate
Alpha,tsk-029,Task 029,P1,150.5,Task 029: is the evidence strong enough to commit to a recovery date?,Slippage worsened by 63 days in the latest update to 87 days.,Next reported position: about 87 days late.,The selected model expects 87 days of slippage. Its rolling-test MAE is 12.6 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 12.6 days; next update is stable,0.535,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-047,Task 047,P1,126.5,Task 047: is the evidence strong enough to commit to a recovery date?,Slippage worsened by 35 days in the latest update to 71 days.,Next reported position: about 71 days late.,The selected model expects 71 days of slippage. Its rolling-test MAE is 7.0 days and the activity is marked critical.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 7.0 days; next update is stable,0.675,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-007,Task 007,P1,126.5,Task 007: is the evidence strong enough to commit to a recovery date?,Slippage worsened by 47 days in the latest update to 134 days.,Next reported position: about 134 days late.,The selected model expects 134 days of slippage. Its rolling-test MAE is 9.4 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 9.4 days; next update is stable,0.608,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-028,Task 028,P1,69.0,Task 028: which owned intervention will protect the critical path?,Slippage worsened by 2 days in the latest update to 64 days.,Next reported position: about 64 days late.,The selected model expects 64 days of slippage. Its rolling-test MAE is 0.4 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.4 days; next update is stable,0.93,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-041,Task 041,P1,66.0,Task 041: which owned intervention will protect the critical path?,Slippage held at 66 days in the latest update.,Next reported position: about 66 days late.,The selected model expects 66 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-036,Task 036,P1,65.2,Task 036: which owned intervention will protect the critical path?,Slippage held at 59 days in the latest update.,Next reported position: about 59 days late.,The selected model expects 59 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-062,Task 062,P1,62.0,Task 062: which owned intervention will protect the critical path?,Slippage held at 55 days in the latest update.,Next reported position: about 55 days late.,The selected model expects 55 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-038,Task 038,P1,57.2,Task 038: which owned intervention will protect the critical path?,Slippage held at 49 days in the latest update.,Next reported position: about 49 days late.,The selected model expects 49 days of slippage. Its rolling-test MAE is 0.0 days and the activity is marked critical.,"Run a 48-hour recovery review, name the blocked dependency and bring one costed recovery option for approval.",Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 0.0 days; next update is stable,0.95,"Named blocker, accountable owner, decision date and quantified recovery mechanism.",Human approval required
Alpha,tsk-061,Task 061,P1,56.0,Task 061: is the evidence strong enough to commit to a recovery date?,Slippage held at 128 days in the latest update.,Next reported position: about 128 days late.,The selected model expects 128 days of slippage. Its rolling-test MAE is 9.4 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 9.4 days; next update is stable,0.608,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
Alpha,tsk-057,Task 057,P1,56.0,Task 057: is the evidence strong enough to commit to a recovery date?,Slippage held at 91 days in the latest update.,Next reported position: about 91 days late.,The selected model expects 91 days of slippage. Its rolling-test MAE is 10.8 days.,Validate the finish-date evidence and dependency logic before approving a recovery commitment.,Planning lead,Before the next control gate,Update_014 to Update_015; 5 rolling tests; typical error 10.8 days; next update is stable,0.574,"A dated owner update, confirmed predecessor logic and one further reporting observation.",Human approval required
