Project Name,Department,Annual Report Category,Project Description,IPA Delivery Confidence Assessment,SRO Delivery Confidence Assessment,Departmental Commentary on Delivery Confidence Assessment Rating,Start Date,End Date,Schedule Narrative,"Financial Year Baseline (£m, Presented in 2024/25 Real Prices)","Financial Year Forecast (£m, Presented in 2024/25 Real Prices)",Financial Year Variance (%),In Year Variance Narrative,"Whole Life Cost (£m, Presented in 2024/25 Real Prices)",Costs Narrative,"Benefits (£m, Presented in 2024/25 Real Prices)",Benefits Narrative,Evaluation Plan and Registry Link,Senior Responsible Owner (SRO) Name,Major Projects ID
Falcon Programme,CO,Government Transformation and Service Delivery,"The Falcon programme is an important initiative to update the Cabinet Office's main IT systems. We are moving our staff from Google Workspace to Microsoft 365 (M365). The initial approach was for the Cabinet Office to build its own new IT system for this change. However, after review, we found this was not the most cost-effective option. We have now approved a new plan. This involves moving our digital services to a shared government service called Integrated Corporate Services (ICS), which is managed by the Department for Energy Security and Net Zero (DESNZ). While this new approach means the project will take a bit longer to complete, it will save money in the long run by using an existing government service. Why is this change important? The Cabinet Office is the central headquarters for the government. Currently, we use Google Workspace, which is different from the Microsoft systems used by most of our partners both inside and outside of government. This difference can make working together and sharing information difficult. Moving to Microsoft 365 will help us work more effectively and efficiently. It's becoming more and more important for us to collaborate easily with people from other organisations, who might be in different places, using different devices, and working at different times. This change will also allow us to use new Artificial Intelligence (AI) tools that are being developed across government. What will the Falcon programme deliver? The programme has two main goals: A new IT system for the Cabinet Office: This will include a new Microsoft 365 setup, built and managed by Integrated Corporate Services. Moving our staff and their data: We will carefully move our employees and their information from Google Workspace to Microsoft 365. This will bring us in line with the rest of government and open up better ways to work together.",,AMBER,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 improved to AMBER. This is primarily due to the following factors: 
- Refined Cyber Assurance and incident response mechanisms
- Finalised the data migration strategy
- Obtained approval for resourcing and budgets
- Delivered platform go live, and pre-pilot user testing.

The following area's are area's of focus to move the programme from Amber to Green: 
- Defining the future operating model & support processes
- Improving the programme's and its partners current responsiveness to change",01/05/2022,31/12/2026,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 has increased from Dec 2026 to Dec 2027. This is primarily due to the following factors:

The platform testing in the prepilot, along with subsequent lessons learned, involved replanning. This replanning now includes additional time for the migration to the ICS Shared Services operating model and Data migration. Migrations are by Business Unit, in tranches selected by size and complexity through to  December 2027 - Close",8.43,4.94,41.38,The budget variance exceeds 5%. The budget for the year is lower than anticipated budget. This is primarily due to investing resource time in delivery mobilisation planning during the financial year and a revision of the rollout plan. A successful pre pilot has commenced in the financial year leading to a revised pilot date early in FY26/27 which will enable migration at pace during FY 26/27. The whole lifecycle cost of the programme remains unchanged.,23.11,"Compared to financial year 24/25 Q4, the programme's departmentally agreed whole life cycle cost at 25/26 Q4  increased. This is primarily due to a revised business case submission for Microsoft Licencing and Copilot commitment. The programme scope now includes the inclusion of Copilot and resulted in certainty over the M365 E5 cost uplifts, This resulted in a marginal increase on the baseline cost.",88.1,Q4 decreased. This is primarily due to a change in Cabinet Office user numbers reducing benefits and a revision to the migration rollout plan meaning benefits associated with previous financial years were not realised.  A revised programme business case submission in the summer will rebaseline the benefit position over a 5 year period.,,Steve Holborow,CO_0176_2223-Q3
Manchester Digital Campus,CO,Infrastructure and Construction,Manchester Digital Campus (MDC) will deliver two large office buildings on a brown field site in Central Manchester for 8800 FTE; it will collocate digitally focused departments in a central location as a Government Hub. MDC is a transformative programme that will create a Civil Service community centred on digital skills and the growth potential of the sector in the North West economy. MDC will foster greater cross-government collaboration and enable role relations into Manchester through Places for Growth.,AMBER,,Exempt under Section 24 - National security,07/04/2025,17/12/2032,Exempt under Section 24 - National security,33.42,33.42,0,"Since the last report, the OBC has been endorsed (Mar 26). The OBC has the baseline benefits for the Programme which to ensure standardisation of publishing are now discounted (£3,051.896M). This accounts for the variation between previous reports (which weren't discounted). The OBC cost shows a small reduction. This is due to a new cost plan at the end of RIBA3 and the result of a value engineering exercise. ","1,029.78",Exempt under Section 24 - National security,"2,009.35",Exempt under Section 24 - National security,Exempt under Section 24 – National Security​,Philippa Harvey,CO_0438_2425-Q3
Future Service Programme,CO,Information and Communications Technology (ICT),Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,01/10/2020,31/12/2026,Exempt under Section 43 - Commercial interests,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 – Commercial interests​,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 - Commercial interests,Exempt under Section 43 – Commercial interests​,Muna Rowe,CO_0027_2021-Q4
Transforming Public Procurement,CO,Government Transformation and Service Delivery,"The public procurement spend has a significant role to play in stimulating the economy. The objective of this programme is to implement legislative reforms to the UK’s public procurement regime, making it quicker, simpler and better able to meet the UK’s needs while remaining compliant with our international obligations. The programme includes implementing primary legislation, training 15,000 public sector buyers, and developing a new digital platform for commercial data.",,GREEN,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at a RAG rating of Green. This is primarily due to all the major deliverables being achieved and expected programme closure on March 31st 2026. We are now in the final stages of closedown with only minor tasks remaining including a final programme closure report, the final programme board (on the 23rd April 2026), completion of remaining procurement notices on the CDP and handover to BAU. This is all confidently expected to be completed by the end of March.",01/01/2021,31/03/2026,"Compared to financial year 24/25 Q4, the project's end-date at 25/26 Q4 remained the same. This is primarily due to all the major deliverables being achieved and expected programme closure on March 31st 2026. All tasks are confidently expected to be completed by the end of March.",6.09,8.04,31.96," The 'real term' figures calculated by NISTA are not representative of the project data held on costs and see the Budget variance exceeds 5%. Following the integration of comprehensive maintenance costs through to Programme closure at the end of FY 25/26, the total Whole Life Cost has slightly decreased. The current forecast spend is £30.26m, representing a net reduction from the original projection of £31.47m.",32.47,"Following the integration of comprehensive maintenance costs through to Programme closure, the total Whole Life Cost has been slightly decreased. ",271.7,"Delays to the commencement of the Procurement Act mean that benefits will start accruing later than initially anticipated. While the benefit estimates in the Impact Assessment published in April 2022 remain valid, the net realisation of benefits in the initial 10yr assessment period will be lower, as a result of this delay.  
https://bills.parliament.uk/publications/46429/documents/1767",https://evaluation-registry.cabinetoffice.gov.uk/search/48ff72aa-404c-4bcb-8068-49f6cbc7fd5f/,Sam Rowbury,CO_0120_2223-Q1
POST OFFICE - TRANSFORMATION,DBT,Information and Communications Technology (ICT),"Post Office Transformation Programme, a five-year programme to secure the network’s long-term future by modernising technology, strengthening the commercial offer, reshaping the operating model, and improving Postmaster and stakeholder relationships while maintaining financial stability.

POL’s five-year Transformation Plan is split into: STP 4 pillars – Commercial Offer, Network, Operating Model, Stakeholder Relations. FTP 5th pillar - Technology & Data.",AMBER,,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 has improved to Amber from Red representing the material progress made in establishing the programme and its underlying control infrastructure.",01/04/2025,"Low: 31/03/2030, Mid: 31/03/2032, High: 31/03/2031",We remain on track with the 5 year overall programme and core outcomes expected from it.,267.53,226.56,15.31,Budget variance includes proactive review and return of under utilised funding in line with monthly dialogue with DBT.,"1,553.73",WLC in line with business case.,,Benefits and outcomes remain in line with overall business case.,,Andy Nice,DBT_0293_2324-Q3
Drive 35,DBT,Infrastructure and Construction,"DRIVE35 is a cross-government major programme led by DBT to support the end-to-end transformation of the UK automotive sector, with a focus on accelerating the transition to zero-emission vehicles and strengthening domestic manufacturing capability.

The programme brings together a portfolio of interventions including capital grants, R&D support, and scale-up financing to support both early-stage innovation and commercial deployment. It targets strategic segments of the automotive supply chain, including battery manufacturing, power electronics, and critical component production, with the aim of securing long-term investment, enhancing UK competitiveness, and supporting regional economic growth.

DRIVE35 is designed as an integrated offer, working with partners across government and delivery bodies to provide blended finance and coordinated policy support. It aims to crowd in private investment, enable the development of industrial clusters, and support companies from innovation through to industrialisation.",,GREEN,"This is the first annual report for DRIVE35, the Delivery Confidence Assessment (DCA) rating at 25/26 Q4 is rated Green. This reflects a programme that is delivering substantial strategic value while accepting there are a number of delivery and operational challenges typical of a complex cross-government portfolio.

Key factors influencing the assessment include:

organisational changes and resourcing pressures affecting delivery capacity and continuity;
the complexity of governance arrangements across policy, delivery, and external partners; and
the need to maintain pace and clarity in decision-making to remain internationally competitive.

The Department has taken steps to mitigate these risks through strengthening programme management capability, enhancing PMO support, and increasing focus on strategic risk management and governance maturity. There is active senior oversight through established boards and regular risk review processes.

Overall, while challenges remain, the programme is considered deliverable with continued focus on strengthening delivery capability, improving process efficiency, and maintaining a clear strategic narrative for investors and stakeholders.",,30/04/2030,"This is the first annual report for DRIVE35, the Programme end date is currently 31/03/2030 with a planned 5 year extension to March 2035. ",281.49,266.92,5.18,The budget variance is less than or equal to 5%,"1,841.78","This is the first annual report for DRIVE35, the Programme Whole life costs are £2.04bn. ","20,338.15","This is the first annual report for DRIVE35, the Programme DRIVE35, benefits at 25/26 Q4 are reported at £2,397.4m. ",https://evaluation-registry.cabinetoffice.gov.uk/search/7b37531f-0ed9-4926-9db3-dbf14d1452d7/,Graham Zebedee,DBT_0295_2526-Q2
AUTOMOTIVE TRANSFORMATION FUND (ATF),DBT,Infrastructure and Construction,"The Automotive Transformation Fund (ATF) is a major government programme supporting large-scale capital investment in the UK automotive sector, with a primary focus on transitioning supply chains and manufacturing capability towards zero-emission vehicles.

Originally established to secure strategic inward investment and develop domestic capability in key areas such as battery manufacturing and associated supply chains, the programme has supported a portfolio of capital-intensive projects across the UK.

While DRIVE35 now represents the future integrated programme for the sector, ATF continues to operate as a legacy programme, managing and delivering existing grant commitments and ensuring successful completion of funded projects. It remains a critical component of the UK’s industrial strategy, underpinning supply chain resilience and long-term competitiveness.",,GREEN,"The current Delivery Confidence Assessment reflects the transition of ATF from an active award programme to a delivery and stewardship phase, managing a complex portfolio of high-value, long-term capital projects.

Key drivers of the assessment include:

the complexity and scale of funded projects, many of which involve multiple commercial partners and long delivery timelines;
the ongoing need for robust monitoring, assurance, and contractual management of legacy commitments; and
residual delivery risks associated with project execution, market conditions, and supply chain dependencies.
Additionally, programme delivery has been impacted by organisational changes and resourcing pressures within DBT, which have required strengthening of PMO capability and oversight to maintain delivery confidence. 

The Department has taken steps to mitigate these risks through enhanced governance, strengthened programme management arrangements, and continued senior oversight. Overall, the programme remains deliverable, with a focus on ensuring effective oversight of existing commitments and managing risks to delivery and benefits realisation.",,,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remained the same at 31/03/2025. 

All future provision at that point moves into DRIVE35. 

",94.92,16.44,82.68,The budget variance is less than or equal to 5%,702.72,"Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 increased slightly from last year's WLC £671 to £675m.","12,558.16","The project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) have been reported at £1,427.4m - this is the first year that benefits have been reported.",https://evaluation-registry.cabinetoffice.gov.uk/search/a50da92b-7780-49b1-aab3-9e0e24d7d7d3/ ,Graham Zebedee,BEIS_0090_2122-Q4
Strategic Sites Accelerator (SSA),DBT,Infrastructure and Construction,"The Strategic Sites Accelerator is a key Industrial Strategy programme designed to unlock nationally significant investment opportunities and accelerate their path to delivery. 

Over the pilot period, we will support a small number of genuinely transformative sites, combining technical expertise with flexible financial tools to help crowd in private capital and unlock investment at pace. 

Backed by around £600 million of Financial Transactions funding, the Programme is focused on deploying capital where government intervention can be catalytic and help unlock opportunities that may not otherwise progress. 

The Programme is designed to tackle barriers that can slow down investment, helping strategic sites become investment-ready more quickly. ",AMBER,,"The Delivery Confidence Asssessment rating remains AMBER.

Independent assurance concluded that the programme is well developed, with a clear strategic rationale, commercial model and delivery approach. While the programme is progressing well, it remains subject to final HM Treasury approval and has not yet been fully mobilised, meaning some delivery arrangements are still being finalised. ",,"Low: 30/03/2030, Mid: 30/03/2030",Schedule remains the same.,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide cost/schedule information,The GMPP project is still at the planning stage (Pre-SOC or equivalent) and is not yet in a position to provide costs/schedule information,Tim Newns,DBT_0296_2526-Q2
British Museum - Energy Centre Programme (ECP),DCMS,Infrastructure and Construction,"The Energy Centre Programme is a programme of major infrastructure works that are designed to improve energy generation, rationalise services distribution, and provide improved resilience for the Bloomsbury estate. The project is a key enabler which will support ongoing asset and infrastructure renewal and the emerging aspirations of the Museum’s Masterplan. Some of the key elements of the project include –
· Review of the Museum’s energy strategy and development of an energy transition plan
· Development of a new primary services infrastructure strategy for the Bloomsbury estate
· Design, construction and mobilisation of a new energy centre
 Delivery of a new low carbon, energy efficient heating and cooling system that helps pave the way to a net zero future.
",,GREEN,"Compared to the financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 remained at GREEN. The last review was conducted in October 2024, with the next review being due in October 2026.
 
The Energy Centre Programme has generally been progressed over the last 12 months on schedule against the agreed programme and within budget.

The two main building contracts were awarded on schedule and within budget in both instances.
",01/04/2022,31/12/2029,"Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 remained the same at 31/12/2029. This is primarily due to the following factors:

The early stage enabling works projects have been completed within the agreed programme.

Any delays that have been incurred to date on the construction of the East Road Building have been non-critical to the overall programme.

The two main building contracts (SWEC Main Works and SWEC MEP) works are currently being progressed in line with scheduled completion dates in June 2029.",20.15,20.15,0,"The budget variance is less than 5%. 

Individual projects have generally been progressed in line with planned schedules and cashflow forecasts thereby avoiding a potential underspend. 

There has been minimal client-driven change during the period, and the discovery-related change has been contained within allocated risk allowances, thereby avoiding a potential overspend.
",181.97,"Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) remained at £194m. This is primarily due to the following factors:
 
Procurement of the two main building contracts within budget.
Change managed within allocated risk allowances.
No significant commercial claims from contractors

Please note figures referenced in the narratives were entered as nominal and the system automatically converts them to Real Terms.",192.57,"Compared to financial year 24/25-Q4, the project's departmentally agreed Benefits at 25/26-Q4 (measured in £m) remained at £350m. There has been no change to the original underlying assumptions at this stage, so there is no change to the calculated benefits.",,Judith McNicol,DCMS_0254_2324-Q1
Youth Investment Fund,DCMS,Infrastructure and Construction,"Over £300 million to create, expand and improve youth facilities and services in England by September 2026.
The Youth Investment Fund’s (YIF) objective is to create, expand and improve up to 300 local youth facilities and their services, in order to drive positive outcomes for young people, including improved mental and physical wellbeing, and skills for life and work. YIF is a commitment to young people to transform the out-of-school youth sector. It will provide truly innovative youth facilities in priority areas, and early-stage/seed resource funding to underpin them, enabling more positive activities that deliver improved outcomes for young people.",,AMBER,"Compared to financial year 24/25 Q4, the NISTA/SRO Delivery Confidence Assessment (DCA) rating at 25/26 Q4 the programme improved it's delivery confidence rating to Amber. This is primarily due to the following factors‚ the majority of projects within the programme have now been completed with the remainder due to be complete within the first half of the next financial year. This means we can be more confident that the last part of the year we are likely to deliver the programme's expected benefits.",01/04/2022,"Mid: 31/03/2028, High: 31/03/2028","Compared to financial year 24/25-Q4, the project's end-date at 25/26-Q4 increased from last year's published end-date to this year's published end-date, 31 March 2028. This is primarily due to the inclusion of the MMC workstream in the programme, end dates of which have slipped into 2026/27 FY; and the delivery of our benefits realisation programme then supports projects being financially viable one year after opening.",47.84,45.11,5.71,The budget variance exceeds 5%. This is primarily due to some projects slipping into 26/27 with all remaining projects due to be completed in the first half of the next financial year.,360.15,"Compared to financial year 24/25-Q4, the project's departmentally agreed Whole Life Cost at 25/26-Q4 (measured in £m) increased from last year's WLC 316.94m to 354.58m. This is primarily due to the actual costs for 25/26 and forecasted costs for 26/27 being accounted.
Please note figures referenced in the narratives were entered as nominal and the system automatically converts them to Real Terms.","2,437.88","Compared to financial year 24/25 Q4 the projects departmentally agreed Benefits 2,455.29m has increased to this years Benefits total £2,922.600m. This is due to a programme model change, which decreased from 30 years to 20 years. This is reflective of the current re-modelling, with the FBC now inclusive of the MMC figure which provides a justification to this change. ",,Jamie Williams,DCMS_0118_2223-Q1
